PROBEID	SYMBOL	ENTREZID	GENENAME
3584443	SNORD115-2	100033437	"small nucleolar RNA, C/D box 115-2"
3584443	SNORD115-3	100033440	"small nucleolar RNA, C/D box 115-3"
3584443	SNORD115-4	100033441	"small nucleolar RNA, C/D box 115-4"
3584443	SNORD115-5	100033442	"small nucleolar RNA, C/D box 115-5"
3584443	SNORD115-6	100033443	"small nucleolar RNA, C/D box 115-6"
3584443	SNORD115-7	100033444	"small nucleolar RNA, C/D box 115-7"
3584443	SNORD115-8	100033445	"small nucleolar RNA, C/D box 115-8"
3584443	SNORD115-9	100033446	"small nucleolar RNA, C/D box 115-9"
3584443	SNORD115-12	100033449	"small nucleolar RNA, C/D box 115-12"
3584443	SNORD116-1	100033413	"small nucleolar RNA, C/D box 116-1"
3584443	SNORD116-2	100033414	"small nucleolar RNA, C/D box 116-2"
3584443	SNORD116-3	100033415	"small nucleolar RNA, C/D box 116-3"
3584443	SNORD116-4	100033416	"small nucleolar RNA, C/D box 116-4"
3584443	SNORD116-5	100033417	"small nucleolar RNA, C/D box 116-5"
3584443	SNORD116-6	100033418	"small nucleolar RNA, C/D box 116-6"
3584443	SNORD116-7	100033419	"small nucleolar RNA, C/D box 116-7"
3584443	SNORD116-8	100033420	"small nucleolar RNA, C/D box 116-8"
3584443	SNORD116-9	100033421	"small nucleolar RNA, C/D box 116-9"
3584443	SNORD116-10	100033422	"small nucleolar RNA, C/D box 116-10"
3584443	SNORD116-11	100033423	"small nucleolar RNA, C/D box 116-11"
3584443	SNORD116-12	100033424	"small nucleolar RNA, C/D box 116-12"
3584443	SNORD116-13	100033425	"small nucleolar RNA, C/D box 116-13"
3584443	SNORD116-14	100033426	"small nucleolar RNA, C/D box 116-14"
3584443	SNORD116-15	100033427	"small nucleolar RNA, C/D box 116-15"
3584443	SNORD116-16	100033428	"small nucleolar RNA, C/D box 116-16"
3584443	SNORD116-17	100033429	"small nucleolar RNA, C/D box 116-17"
3584443	SNORD116-18	100033430	"small nucleolar RNA, C/D box 116-18"
3584443	SNORD116-20	100033431	"small nucleolar RNA, C/D box 116-20"
3584443	SNORD116-21	100033432	"small nucleolar RNA, C/D box 116-21"
3584443	SNORD116-22	100033433	"small nucleolar RNA, C/D box 116-22"
3584443	SNORD116-23	100033434	"small nucleolar RNA, C/D box 116-23"
3584443	SNORD116-24	100033435	"small nucleolar RNA, C/D box 116-24"
3584443	SNORD116-25	100033436	"small nucleolar RNA, C/D box 116-25"
3584443	SNORD116-26	100033438	"small nucleolar RNA, C/D box 116-26"
3584443	SNORD116-27	100033439	"small nucleolar RNA, C/D box 116-27"
3584443	SNORD116-29	100033821	"small nucleolar RNA, C/D box 116-29"
3584443	SNORD116-28	100033820	"small nucleolar RNA, C/D box 116-28"
3584443	PWAR5	8123	Prader Willi/Angelman region RNA 5
3584443	PWAR1	145624	Prader Willi/Angelman region RNA 1
3584443	PWARSN	347746	"Prader Willi/Angelman region RNA, SNRPN neighbor"
3584443	IPW	3653	imprinted in Prader-Willi syndrome
3584443	SNORD116@	692236	"small nucleolar RNA, C/D box 116 cluster"
3584443	SNHG14	104472715	small nucleolar RNA host gene 14
3584443	PWAR6	100506965	Prader Willi/Angelman region RNA 6
3424898	NTS	4922	neurotensin
3466499	USP44	84101	ubiquitin specific peptidase 44
2940145	NRN1	51299	neuritin 1
3831276	NA	NA	NA
3442854	SLC2A3	6515	solute carrier family 2 member 3
3442854	SLC2A14	144195	solute carrier family 2 member 14
3036924	ACTB	60	actin beta
2860614	CCDC125	202243	coiled-coil domain containing 125
3761451	HOXB9	3219	homeobox B9
2834472	SCGB3A2	117156	secretoglobin family 3A member 2
4018454	AMOT	154796	angiomotin
2516834	HOXD10	3236	homeobox D10
3617719	ACTC1	70	actin alpha cardiac muscle 1
3985008	TCEAL2	140597	transcription elongation factor A like 2
3151086	HAS2	3037	hyaluronan synthase 2
3212277	C9orf64	84267	chromosome 9 open reading frame 64
3144033	CALB1	793	calbindin 1
3986230	RADX	55086	"RPA1 related single stranded DNA binding protein, X-linked"
3517251	DACH1	1602	dachshund family transcription factor 1
2480961	EPCAM	4072	epithelial cell adhesion molecule
3802924	DSC3	1825	desmocollin 3
3368054	PAX6	5080	paired box 6
3013255	PEG10	23089	paternally expressed 10
2735027	SPP1	6696	secreted phosphoprotein 1
3856075	ZNF682	91120	zinc finger protein 682
3856075	ZNF506	440515	zinc finger protein 506
3856075	LOC105372309	105372309	uncharacterized LOC105372309
2882098	SPARC	6678	secreted protein acidic and cysteine rich
3331903	FAM111B	374393	FAM111 trypsin like peptidase B
3315675	IFITM1	8519	interferon induced transmembrane protein 1
2468622	ID2	3398	inhibitor of DNA binding 2
3882012	DNMT3B	1789	DNA methyltransferase 3 beta
3241316	ZEB1	6935	zinc finger E-box binding homeobox 1
3594003	SCG3	29106	secretogranin III
3998766	ANOS1	3730	anosmin 1
3204721	TPM2	7169	tropomyosin 2
3610110	NR2F2	7026	nuclear receptor subfamily 2 group F member 2
2736060	GRID2	2895	glutamate ionotropic receptor delta type subunit 2
2900059	H2BC14	8342	H2B clustered histone 14
3326400	CAT	847	catalase
2458629	LEFTY2	7044	left-right determination factor 2
2458629	LEFTY1	10637	left-right determination factor 1
2971378	GOPC	57120	golgi associated PDZ and coiled-coil motif containing
2369557	SOAT1	6646	sterol O-acyltransferase 1
2654454	SOX2	6657	SRY-box transcription factor 2
2654454	SOX2-OT	347689	SOX2 overlapping transcript
3743551	CLDN7	1366	claudin 7
3062665	CCZ1P-OR7E38P	389538	CCZ1P-OR7E38P readthrough
3062665	CZ1P-ASNS	107986827	CZ1P-ASNS readthrough
3062665	CCZ1	51622	"CCZ1 homolog, vacuolar protein trafficking and biogenesis associated"
3062665	CCZ1B	221960	"CCZ1 homolog B, vacuolar protein trafficking and biogenesis associated"
3062665	OR7E37P	100506759	olfactory receptor family 7 subfamily E member 37 pseudogene
3062665	LINC00937	389634	long intergenic non-protein coding RNA 937
3062665	OR7E85BP	650293	olfactory receptor family 7 subfamily E member 85B pseudogene
2797771	TRIML2	205860	tripartite motif family like 2
2713950	ZNF141	7700	zinc finger protein 141
2946714	H2BC12	85236	H2B clustered histone 12
2471233	VSNL1	7447	visinin like 1
3073013	PODXL	5420	podocalyxin like
2486178	MEIS1	4211	Meis homeobox 1
3074857	PTN	5764	pleiotrophin
2974330	CCN2	1490	cellular communication network factor 2
4017212	MORC4	79710	MORC family CW-type zinc finger 4
2761842	PROM1	8842	prominin 1
3416344	HOXC9	3225	homeobox C9
3394412	THY1	7070	Thy-1 cell surface antigen
3556757	NA	NA	NA
2762088	LDB2	9079	LIM domain binding 2
3489673	KCNRG	283518	potassium channel regulator
3761395	HOXB6	3216	homeobox B6
2902707	HSPA1A	3303	heat shock protein family A (Hsp70) member 1A
2902707	HSPA1B	3304	heat shock protein family A (Hsp70) member 1B
3451264	YAF2	10138	YY1 associated factor 2
2926323	EYA4	2070	EYA transcriptional coactivator and phosphatase 4
3445028	GPR19	2842	G protein-coupled receptor 19
3042919	HOXA9	3205	homeobox A9
3042919	HOXA10-HOXA9	100534589	HOXA10-HOXA9 readthrough
2616932	MLH1	4292	mutL homolog 1
2786657	SETD7	80854	"SET domain containing 7, histone lysine methyltransferase"
4004819	DYNLT3	6990	dynein light chain Tctex-type 3
3304970	SH3PXD2A	9644	SH3 and PX domains 2A
4022370	GPC4	2239	glypican 4
3857208	ZNF681	148213	zinc finger protein 681
2704441	MECOM	2122	MDS1 and EVI1 complex locus
3136888	TOX	9760	thymocyte selection associated high mobility group box
3780981	GREB1L	80000	GREB1 like retinoic acid receptor coactivator
3104013	ZFHX4	79776	zinc finger homeobox 4
3154317	NDRG1	10397	N-myc downstream regulated 1
3042610	SKAP2	8935	src kinase associated phosphoprotein 2
3042610	LOC101928077	101928077	uncharacterized LOC101928077
3238491	COMMD3-BMI1	100532731	COMMD3-BMI1 readthrough
3238491	BMI1	648	"BMI1 proto-oncogene, polycomb ring finger"
3238466	COMMD3-BMI1	100532731	COMMD3-BMI1 readthrough
3238466	COMMD3	23412	COMM domain containing 3
3666409	CDH1	999	cadherin 1
3985717	PLP1	5354	proteolipid protein 1
3696666	NQO1	1728	NAD(P)H quinone dehydrogenase 1
3200982	MLLT3	4300	MLLT3 super elongation complex subunit
3475016	NA	NA	NA
3556735	NA	NA	NA
2338719	NFIA	4774	nuclear factor I A
3174816	ANXA1	301	annexin A1
2769810	KDR	3791	kinase insert domain receptor
2831973	NA	NA	NA
2865390	EDIL3	10085	EGF like repeats and discoidin domains 3
2636125	CD200	4345	CD200 molecule
3626312	ALDH1A2	8854	aldehyde dehydrogenase 1 family member A2
2968379	NA	NA	NA
2732844	ANXA3	306	annexin A3
3090436	NEFM	4741	neurofilament medium chain
2903435	HLA-DPB2	3116	"major histocompatibility complex, class II, DP beta 2 (pseudogene)"
3092561	NA	NA	NA
3059464	SEMA3A	10371	semaphorin 3A
3413278	TMEM106C	79022	transmembrane protein 106C
3070183	AASS	10157	aminoadipate-semialdehyde synthase
3826041	ZNF253	56242	zinc finger protein 253
3826041	ZNF626	199777	zinc finger protein 626
3986585	MID2	11043	midline 2
3392932	NA	NA	NA
3137120	CA8	767	carbonic anhydrase 8
2686784	NA	NA	NA
3746574	PMP22	5376	peripheral myelin protein 22
2866225	MEF2C	4208	myocyte enhancer factor 2C
3516639	PCDH9	5101	protocadherin 9
2880292	DPYSL3	1809	dihydropyrimidinase like 3
4019784	TMEM255A	55026	transmembrane protein 255A
4011743	SLC7A3	84889	solute carrier family 7 member 3
3998247	NLGN4X	57502	neuroligin 4 X-linked
3998247	NLGN4Y	22829	neuroligin 4 Y-linked
2781138	LEF1	51176	lymphoid enhancer binding factor 1
3208355	CBWD5	220869	COBW domain containing 5
3208355	CBWD1	55871	COBW domain containing 1
3208355	LOC105379250	105379250	uncharacterized LOC105379250
3208355	CBWD6	644019	COBW domain containing 6
3208355	FOXD4L5	653427	forkhead box D4 like 5
3208355	CBWD3	445571	COBW domain containing 3
3208355	CBWD2	150472	COBW domain containing 2
2611056	PPARG	5468	peroxisome proliferator activated receptor gamma
2841462	NA	NA	NA
2947077	H3C11	8354	H3 clustered histone 11
2879105	SPRY4	81848	sprouty RTK signaling antagonist 4
2879105	SPRY4-IT1	100642175	SPRY4 intronic transcript 1
2832297	PCDHB2	56133	protocadherin beta 2
2832297	PCDHB3	56132	protocadherin beta 3
2832297	PCDHB13	56123	protocadherin beta 13
2832297	PCDHB19P	84054	protocadherin beta 19 pseudogene
3919785	CBR1	873	carbonyl reductase 1
3075550	ZC3HAV1L	92092	"zinc finger CCCH-type containing, antiviral 1 like"
3601955	MPI	4351	mannose phosphate isomerase
2331857	SMAP2	64744	small ArfGAP2
3416290	HOXC10	3226	homeobox C10
3039177	ETV1	2115	ETS variant transcription factor 1
2841964	MSX2	4488	msh homeobox 2
3410384	RESF1	55196	retroelement silencing factor 1
3971219	CNKSR2	22866	connector enhancer of kinase suppressor of Ras 2
2436456	NA	NA	NA
2899223	H2AC8	3012	H2A clustered histone 8
3414846	DAZAP2	9802	DAZ associated protein 2
3414846	LOC102723983	102723983	uncharacterized LOC102723983
3040518	MACC1	346389	MET transcriptional regulator MACC1
3040518	LOC101927668	101927668	uncharacterized LOC101927668
2343418	PTGFR	5737	prostaglandin F receptor
4012178	CITED1	4435	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1
3959734	NA	NA	NA
2968432	NA	NA	NA
2962876	SNAP91	9892	synaptosome associated protein 91
3110789	ZFPM2	23414	"zinc finger protein, FOG family member 2"
2514413	KLHL41	10324	kelch like family member 41
3279313	ITGA8	8516	integrin subunit alpha 8
2941476	TFAP2A	7020	transcription factor AP-2 alpha
3518455	FBXL3	26224	F-box and leucine rich repeat protein 3
3928040	RWDD2B	10069	RWD domain containing 2B
3812074	DSEL	92126	dermatan sulfate epimerase like
2841384	NA	NA	NA
2968444	NA	NA	NA
3507465	SLC46A3	283537	solute carrier family 46 member 3
2485257	UGP2	7360	UDP-glucose pyrophosphorylase 2
3618333	MEIS2	4212	Meis homeobox 2
2841390	NA	NA	NA
3515088	CNMD	11061	chondromodulin
3291682	JMJD1C	221037	jumonji domain containing 1C
3474541	NA	NA	NA
3408573	ETFRF1	144363	electron transfer flavoprotein regulatory factor 1
2742935	HSPA4L	22824	heat shock protein family A (Hsp70) member 4 like
3095223	IDO1	3620	"indoleamine 2,3-dioxygenase 1"
3475150	NA	NA	NA
3092415	RBPMS	11030	"RNA binding protein, mRNA processing factor"
3376529	PLAAT3	11145	phospholipase A and acyltransferase 3
3176209	TLE4	7091	"TLE family member 4, transcriptional corepressor"
2558924	TEX261	113419	testis expressed 261
2558924	ATP6V1B1-AS1	101927750	ATP6V1B1 antisense RNA 1
3998632	PNPLA4	8228	patatin like phospholipase domain containing 4
2947081	H4C13	8368	H4 clustered histone 13
3511158	NA	NA	NA
3985665	TCEAL1	9338	transcription elongation factor A like 1
3497586	MBNL2	10150	muscleblind like splicing regulator 2
3446910	KCNJ8	3764	potassium inwardly rectifying channel subfamily J member 8
3509677	CCDC169	728591	coiled-coil domain containing 169
3509677	CCDC169-SOHLH2	100526761	CCDC169-SOHLH2 readthrough
3392900	NA	NA	NA
3959748	NA	NA	NA
3983324	KLHL4	56062	kelch like family member 4
3737874	BAHCC1	57597	BAH domain and coiled-coil containing 1
2841338	NA	NA	NA
2977621	PLAGL1	5325	PLAG1 like zinc finger 1
2977621	HYMAI	57061	hydatidiform mole associated and imprinted
2579572	ZEB2	9839	zinc finger E-box binding homeobox 2
2639054	PARP14	54625	poly(ADP-ribose) polymerase family member 14
2872047	SEMA6A	57556	semaphorin 6A
2941721	ELOVL2	54898	ELOVL fatty acid elongase 2
3958309	NA	NA	NA
3909777	SALL4	57167	spalt like transcription factor 4
3318443	TRIM22	10346	tripartite motif containing 22
3569339	PIGH	5283	phosphatidylinositol glycan anchor biosynthesis class H
3566176	OTX2	5015	orthodenticle homeobox 2
3110395	RIMS2	9699	regulating synaptic membrane exocytosis 2
3263944	PDCD4	27250	programmed cell death 4
2949107	NA	NA	NA
2594089	SATB2	23314	SATB homeobox 2
2674361	NA	NA	NA
3760268	ARL17B	100506084	ADP ribosylation factor like GTPase 17B
3760268	ARL17A	51326	ADP ribosylation factor like GTPase 17A
3760268	NBR2	10230	neighbor of BRCA1 lncRNA 2
3760268	BPTF	2186	bromodomain PHD finger transcription factor
3760268	LOC100996709	100996709	ADP-ribosylation factor-like protein 17
3760268	LOC107984156	107984156	ADP-ribosylation factor-like protein 17
3760268	LOC101929774	101929774	uncharacterized LOC101929774
2939034	SERPINB9	5272	serpin family B member 9
2946194	H1-1	3024	"H1.1 linker histone, cluster member"
2436194	NA	NA	NA
2519480	GULP1	51454	GULP PTB domain containing engulfment adaptor 1
3392332	CADM1	23705	cell adhesion molecule 1
2787703	NA	NA	NA
2949111	NA	NA	NA
3489350	CDADC1	81602	cytidine and dCMP deaminase domain containing 1
4019465	NKRF	55922	NFKB repressing factor
2427208	GSTM3	2947	glutathione S-transferase mu 3
4012204	HDAC8	55869	histone deacetylase 8
3927392	CYYR1	116159	cysteine and tyrosine rich 1
3625440	PYGO1	26108	pygopus family PHD finger 1
3936887	MRPL40	64976	mitochondrial ribosomal protein L40
2620150	ZNF660	285349	zinc finger protein 660
2968440	NA	NA	NA
3204202	ARID3C	138715	AT-rich interaction domain 3C
3204202	DCTN3	11258	dynactin subunit 3
3928522	KRTAP19-1	337882	keratin associated protein 19-1
3577256	GON7	84520	GON7 subunit of KEOPS complex
3996598	FAM223B	286967	family with sequence similarity 223 member B
3996598	FAM223A	100132967	family with sequence similarity 223 member A
3755316	NA	NA	NA
3044938	RP9P	441212	RP9 pseudogene
3044938	RP9	6100	RP9 pre-mRNA splicing factor
4024373	CDR1	1038	cerebellar degeneration related protein 1
2565902	ANKRD36B	57730	ankyrin repeat domain 36B
2565902	ANKRD36	375248	ankyrin repeat domain 36
2565902	ANKRD36BP2	645784	ankyrin repeat domain 36B pseudogene 2
2565902	ANKRD36C	400986	ankyrin repeat domain 36C
2844381	NA	NA	NA
2585129	GALNT3	2591	polypeptide N-acetylgalactosaminyltransferase 3
3474539	NA	NA	NA
2621570	NA	NA	NA
3258260	EXOC6	54536	exocyst complex component 6
3856594	ZNF43	7594	zinc finger protein 43
2841392	NA	NA	NA
3625823	ZNF280D	54816	zinc finger protein 280D
3464276	SLC6A15	55117	solute carrier family 6 member 15
2841356	NA	NA	NA
3959722	NA	NA	NA
3160175	VLDLR	7436	very low density lipoprotein receptor
3062523	DLX5	1749	distal-less homeobox 5
2328529	NA	NA	NA
3851267	ZNF625	90589	zinc finger protein 625
3851267	ZNF625-ZNF20	100529855	ZNF625-ZNF20 readthrough (NMD candidate)
2742109	FGF2	2247	fibroblast growth factor 2
3247818	BICC1	80114	BicC family RNA binding protein 1
3247818	FAM133CP	728640	"family with sequence similarity 133, member A pseudogene"
3589458	THBS1	7057	thrombospondin 1
2412624	RAB3B	5865	"RAB3B, member RAS oncogene family"
3813604	ZADH2	284273	zinc binding alcohol dehydrogenase domain containing 2
2596763	FZD5	7855	frizzled class receptor 5
3815399	CNN2	1265	calponin 2
3079313	CDK5	1020	cyclin dependent kinase 5
2841464	NA	NA	NA
2327219	STX12	23673	syntaxin 12
2971801	MAN1A1	4121	mannosidase alpha class 1A member 1
3512874	LCP1	3936	lymphocyte cytosolic protein 1
2436460	NA	NA	NA
2899090	H3C1	8350	H3 clustered histone 1
2800711	ADCY2	108	adenylate cyclase 2
2800711	LINC02142	105374644	long intergenic non-protein coding RNA 2142
3347431	ELMOD1	55531	ELMO domain containing 1
3322251	NUCB2	4925	nucleobindin 2
2565233	NA	NA	NA
3790361	ZNF532	55205	zinc finger protein 532
3309345	SFXN4	119559	sideroflexin 4
3466369	FGD6	55785	"FYVE, RhoGEF and PH domain containing 6"
3929325	SYNJ1	8867	synaptojanin 1
3335844	NA	NA	NA
2520533	NABP1	64859	nucleic acid binding protein 1
3725392	CALCOCO2	10241	calcium binding and coiled-coil domain 2
4013549	ITM2A	9452	integral membrane protein 2A
4015763	GLA	2717	galactosidase alpha
3936913	CDC45	8318	cell division cycle 45
3410614	FGD4	121512	"FYVE, RhoGEF and PH domain containing 4"
3184896	ZNF483	158399	zinc finger protein 483
3560673	CFL2	1073	cofilin 2
3753568	SLFN13	146857	schlafen family member 13
3753568	SLFN11	91607	schlafen family member 11
2477302	GPATCH11	253635	G-patch domain containing 11
2443575	KIFAP3	22920	kinesin associated protein 3
2401333	ZNF436	80818	zinc finger protein 436
3642358	TM2D3	80213	TM2 domain containing 3
3381925	PGM2L1	283209	phosphoglucomutase 2 like 1
3183364	TMEM38B	55151	transmembrane protein 38B
2341645	HHLA3	11147	HERV-H LTR-associating 3
3416301	HOXC6	3223	homeobox C6
3416301	HOXC4	3221	homeobox C4
3416301	HOXC5	3222	homeobox C5
3416301	MIR196A2	406973	microRNA 196a-2
4002173	RPS6KA3	6197	ribosomal protein S6 kinase A3
3842156	NA	NA	NA
2984616	MPC1	51660	mitochondrial pyruvate carrier 1
3954375	PRAME	23532	PRAME nuclear receptor transcriptional regulator
3954375	PRAMENP	649179	"PRAME N-terminal like, pseudogene"
3954375	LOC102724653	102724653	uncharacterized LOC102724653
3954375	LOC105372952	105372952	uncharacterized LOC105372952
3954375	LOC107987070	107987070	uncharacterized LOC107987070
2946215	H3C2	8358	H3 clustered histone 2
2989435	C1GALT1	56913	"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1"
2989435	LOC101927354	101927354	uncharacterized LOC101927354
2902725	HSPA1B	3304	heat shock protein family A (Hsp70) member 1B
2902725	HSPA1A	3303	heat shock protein family A (Hsp70) member 1A
2685304	PROS1	5627	protein S
3303300	CHUK	1147	component of inhibitor of nuclear factor kappa B kinase complex
3434383	NA	NA	NA
2364231	DDR2	4921	discoidin domain receptor tyrosine kinase 2
3761905	SPOP	8405	speckle type BTB/POZ protein
2418451	CRYZ	1429	crystallin zeta
3821701	NA	NA	NA
3393834	IFT46	56912	intraflagellar transport 46
3183604	ZNF462	58499	zinc finger protein 462
2436454	NA	NA	NA
2318783	NA	NA	NA
3430894	USP30	84749	ubiquitin specific peptidase 30
2894573	GCNT2	2651	glucosaminyl (N-acetyl) transferase 2 (I blood group)
3959744	NA	NA	NA
3142217	PAG1	55824	phosphoprotein membrane anchor with glycosphingolipid microdomains 1
3340640	MOGAT2	80168	monoacylglycerol O-acyltransferase 2
3139690	PRDM14	63978	PR/SET domain 14
3883921	MYL9	10398	myosin light chain 9
2366884	MROH9	80133	maestro heat like repeat family member 9
3257670	PCGF5	84333	polycomb group ring finger 5
3257670	LOC105378429	105378429	uncharacterized LOC105378429
3051928	CHCHD2	51142	coiled-coil-helix-coiled-coil-helix domain containing 2
3918574	IFNAR1	3454	interferon alpha and beta receptor subunit 1
2864449	SERINC5	256987	serine incorporator 5
2783484	C4orf3	401152	chromosome 4 open reading frame 3
3129065	CLU	1191	clusterin
3129065	MIR6843	102465508	microRNA 6843
2356142	LIX1L	128077	limb and CNS expressed 1 like
2862841	GCNT4	51301	glucosaminyl (N-acetyl) transferase 4
2385258	SPRTN	83932	SprT-like N-terminal domain
2383755	NA	NA	NA
2320077	NA	NA	NA
2614517	OXSM	54995	"3-oxoacyl-ACP synthase, mitochondrial"
2361257	RAB25	57111	"RAB25, member RAS oncogene family"
2818517	VCAN	1462	versican
2513925	B3GALT1	8708	"beta-1,3-galactosyltransferase 1"
3216969	XPA	7507	"XPA, DNA damage recognition and repair factor"
3840944	ZNF813	126017	zinc finger protein 813
3840944	ZNF845	91664	zinc finger protein 845
3840944	ZNF525	170958	zinc finger protein 525
3840944	ZNF765	91661	zinc finger protein 765
3711262	HS3ST3B1	9953	heparan sulfate-glucosamine 3-sulfotransferase 3B1
3711262	MGC12916	84815	uncharacterized protein MGC12916
3808600	MBD2	8932	methyl-CpG binding domain protein 2
3808600	SNORA37	677819	"small nucleolar RNA, H/ACA box 37"
3642162	SNRPA1	6627	small nuclear ribonucleoprotein polypeptide A'
2516332	SCRN3	79634	secernin 3
2516332	LOC105373748	105373748	uncharacterized LOC105373748
3019793	FOXP2	93986	forkhead box P2
2617687	XYLB	9942	xylulokinase
3980940	NA	NA	NA
2437401	RUSC1-AS1	284618	RUSC1 antisense RNA 1
2614369	RARB	5915	retinoic acid receptor beta
3264948	CASP7	840	caspase 7
2335922	CDKN2C	1031	cyclin dependent kinase inhibitor 2C
3958257	NA	NA	NA
3042756	HOXA2	3199	homeobox A2
2318867	NA	NA	NA
4012154	RPS4X	6191	ribosomal protein S4 X-linked
3911814	PRELID3B	51012	PRELI domain containing 3B
3911814	SLMO2-ATP5E	100533975	SLMO2-ATP5E readthrough
3728776	RAD51C	5889	RAD51 paralog C
2600881	PAX3	5077	paired box 3
3959684	NA	NA	NA
3595315	CGNL1	84952	cingulin like 1
3103293	RDH10	157506	retinol dehydrogenase 10
3597338	TPM1	7168	tropomyosin 1
2840624	NA	NA	NA
3429406	HCFC2	29915	host cell factor C2
3518496	MYCBP2	23077	MYC binding protein 2
3258477	PLCE1	51196	phospholipase C epsilon 1
3959724	NA	NA	NA
3954866	ZNF70	7621	zinc finger protein 70
2345929	LRRC8C	84230	leucine rich repeat containing 8 VRAC subunit C
3988638	LONRF3	79836	LON peptidase N-terminal domain and ring finger 3
3274173	PITRM1	10531	pitrilysin metallopeptidase 1
3274173	LOC105376356	105376356	uncharacterized LOC105376356
2342176	FPGT-TNNI3K	100526835	FPGT-TNNI3K readthrough
2342176	FPGT	8790	fucose-1-phosphate guanylyltransferase
3575371	EML5	161436	EMAP like 5
3475036	NA	NA	NA
3844035	NA	NA	NA
3077573	ARHGEF35	445328	Rho guanine nucleotide exchange factor 35
3077573	ARHGEF5	7984	Rho guanine nucleotide exchange factor 5
3959613	FOXRED2	80020	FAD dependent oxidoreductase domain containing 2
2401643	FUCA1	2517	alpha-L-fucosidase 1
3439178	PXMP2	5827	peroxisomal membrane protein 2
3740610	NA	NA	NA
3767531	CEP112	201134	centrosomal protein 112
3958303	NA	NA	NA
3109687	GRHL2	79977	grainyhead like transcription factor 2
2518428	ITPRID2	6744	ITPR interacting domain containing 2
2824315	SRP19	6728	signal recognition particle 19
2824315	ZRSR2P1	7310	ZRSR2 pseudogene 1
2824315	ZRSR2	8233	"zinc finger CCCH-type, RNA binding motif and serine/arginine rich 2"
2588319	LNPK	80856	"lunapark, ER junction formation factor"
2901660	PRR3	80742	proline rich 3
4016045	TCEAL6	158931	transcription elongation factor A like 6
4016045	TCEAL3	85012	transcription elongation factor A like 3
3749652	NA	NA	NA
3350830	TAGLN	6876	transgelin
3391214	PIH1D2	120379	PIH1 domain containing 2
2748923	GUCY1B1	2983	guanylate cyclase 1 soluble subunit beta 1
2709132	ETV5	2119	ETS variant transcription factor 5
4017281	NUP62CL	54830	nucleoporin 62 C-terminal like
2383758	NA	NA	NA
